Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,8000.0,256.31,0,384.47,4.81,384.47,384.47,0,10000,1359.22,8640.78,Market volatility
2025-02-12,8640.78,0,0,-75.0,-0.87,309.47,0,1,10000,1434.22,8565.78,Market volatility
2025-02-13,8565.78,393.25,0,-71.37,-0.83,238.1,0,2,10000,1112.34,8887.66,Followed strategy
2025-02-14,8887.66,0,0,56.73,0.64,294.83,56.73,3,10000,1055.61,8944.39,
2025-02-15,8944.39,0,155.23,319.54,3.57,614.37,319.54,4,10000,891.3,9108.7,Technical issue
2025-02-16,9108.7,0,0,-138.0,-1.52,476.37,0,1,10000,1029.3,8970.7,Deviated from plan
2025-02-17,8970.7,0,0,-118.15,-1.32,358.22,0,2,10000,1147.45,8852.55,Deviated from plan
2025-02-18,8852.55,0,253.34,127.14,1.44,485.36,127.14,3,10000,1273.65,8726.35,Deviated from plan
2025-02-19,8726.35,0,0,270.92,3.1,756.28,270.92,4,10000,1002.73,8997.27,Deviated from plan
2025-02-20,8997.27,156.58,0,-175.66,-1.95,580.62,0,5,10000,1021.81,8978.19,Followed strategy
2025-02-21,8978.19,0,0,252.73,2.81,833.35,252.73,1,10000,769.08,9230.92,Market volatility
2025-02-22,9230.92,0,0,199.42,2.16,1032.77,199.42,2,10000,569.66,9430.34,News impact
2025-02-23,9430.34,0,0,13.69,0.15,1046.46,13.69,3,10000,555.97,9444.03,News impact
2025-02-24,9444.03,284.1,0,-81.06,-0.86,965.4,0,4,10000,352.93,9647.07,Technical issue
2025-02-25,9647.07,0,0,131.22,1.36,1096.62,131.22,5,10000,221.71,9778.29,
2025-02-26,9778.29,0,0,-35.55,-0.36,1061.07,0,6,10000,257.26,9742.74,
2025-02-27,9742.74,0,0,-185.06,-1.9,876.01,0,7,10000,442.32,9557.68,Deviated from plan
2025-02-28,9557.68,0,0,-13.03,-0.14,862.98,0,8,10000,455.35,9544.65,Market volatility
2025-03-01,9544.65,0,0,213.91,2.24,1076.89,213.91,9,10000,241.44,9758.56,News impact
2025-03-02,9758.56,428.75,0,-136.15,-1.4,940.74,0,10,10000,-51.16,10051.16,
2025-03-03,10051.16,0,0,-130.87,-1.3,809.87,0,11,10000,79.71,9920.29,Followed strategy
2025-03-04,9920.29,389.32,0,-14.19,-0.14,795.68,0,12,10000,-295.42,10295.42,Followed strategy
2025-03-05,10295.42,123.35,0,340.17,3.3,1135.85,340.17,13,10000,-758.94,10758.94,
2025-03-06,10758.94,0,0,188.15,1.75,1324.0,188.15,14,10000,-947.09,10947.09,Technical issue
2025-03-07,10947.09,370.14,0,226.31,2.07,1550.31,226.31,15,10000,-1543.54,11543.54,Deviated from plan
2025-03-08,11543.54,0,0,-105.1,-0.91,1445.21,0,16,10000,-1438.44,11438.44,Market volatility
2025-03-09,11438.44,0,0,-138.4,-1.21,1306.81,0,17,10000,-1300.04,11300.04,Market volatility
2025-03-10,11300.04,0,0,172.26,1.52,1479.07,172.26,18,10000,-1472.3,11472.3,Market volatility
2025-03-11,11472.3,0,0,-32.65,-0.28,1446.42,0,19,10000,-1439.65,11439.65,News impact
2025-03-12,11439.65,0,0,351.84,3.08,1798.26,351.84,20,10000,-1791.49,11791.49,Technical issue
