Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,12800.0,0,0,33.9,0.26,33.9,33.9,0,16000,3166.1,12833.9,Followed strategy
2025-02-12,12833.9,326.63,0,-27.35,-0.21,6.55,0,1,16000,2866.82,13133.18,Technical issue
2025-02-13,13133.18,0,0,103.44,0.79,109.99,103.44,2,16000,2763.38,13236.62,Technical issue
2025-02-14,13236.62,8.18,0,-185.01,-1.4,-75.02,0,3,16000,2940.21,13059.79,Deviated from plan
2025-02-15,13059.79,125.66,0,-134.34,-1.03,-209.36,0,4,16000,2948.89,13051.11,
2025-02-16,13051.11,0,0,-142.86,-1.09,-352.22,0,5,16000,3091.75,12908.25,Technical issue
2025-02-17,12908.25,0,0,-159.24,-1.23,-511.46,0,6,16000,3250.99,12749.01,
2025-02-18,12749.01,0,0,244.85,1.92,-266.61,244.85,7,16000,3006.14,12993.86,Followed strategy
2025-02-19,12993.86,0,0,357.9,2.75,91.29,357.9,8,16000,2648.24,13351.76,Followed strategy
2025-02-20,13351.76,0,0,307.39,2.3,398.68,307.39,9,16000,2340.85,13659.15,Market volatility
2025-02-21,13659.15,0,0,167.22,1.22,565.9,167.22,10,16000,2173.63,13826.37,Deviated from plan
2025-02-22,13826.37,0,0,21.07,0.15,586.97,21.07,11,16000,2152.56,13847.44,News impact
2025-02-23,13847.44,0,0,-126.0,-0.91,460.97,0,12,16000,2278.56,13721.44,Followed strategy
2025-02-24,13721.44,0,0,-149.49,-1.09,311.48,0,1,16000,2428.05,13571.95,Followed strategy
2025-02-25,13571.95,0,0,82.84,0.61,394.32,82.84,1,16000,2345.21,13654.79,Technical issue
2025-02-26,13654.79,355.12,0,126.5,0.93,520.82,126.5,2,16000,1863.59,14136.41,
2025-02-27,14136.41,477.48,0,258.12,1.83,778.94,258.12,3,16000,1127.99,14872.01,Deviated from plan
2025-02-28,14872.01,0,0,22.61,0.15,801.55,22.61,4,16000,1105.38,14894.62,Followed strategy
2025-03-01,14894.62,352.56,0,82.17,0.55,883.72,82.17,5,16000,670.65,15329.35,
2025-03-02,15329.35,0,0,39.01,0.25,922.73,39.01,6,16000,631.64,15368.36,Followed strategy
2025-03-03,15368.36,0,0,-198.14,-1.29,724.59,0,7,16000,829.78,15170.22,Deviated from plan
2025-03-04,15170.22,317.62,0,380.96,2.51,1105.55,380.96,8,16000,131.2,15868.8,Market volatility
2025-03-05,15868.8,0,0,345.51,2.18,1451.06,345.51,9,16000,-214.31,16214.31,Deviated from plan
2025-03-06,16214.31,16.83,0,198.11,1.22,1649.17,198.11,10,16000,-429.25,16429.25,Deviated from plan
2025-03-07,16429.25,0,0,-98.85,-0.6,1550.32,0,11,16000,-330.4,16330.4,
2025-03-08,16330.4,0,0,230.4,1.41,1780.72,230.4,12,16000,-560.8,16560.8,Market volatility
2025-03-09,16560.8,0,0,113.13,0.68,1893.85,113.13,13,16000,-673.93,16673.93,News impact
2025-03-10,16673.93,0,0,-13.44,-0.08,1880.41,0,14,16000,-660.49,16660.49,Technical issue
2025-03-11,16660.49,0,0,-116.19,-0.7,1764.22,0,15,16000,-544.3,16544.3,Followed strategy
2025-03-12,16544.3,0,0,17.66,0.11,1781.88,17.66,16,16000,-561.96,16561.96,Technical issue
