Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,16000.0,326.26,0,221.49,1.38,221.49,221.49,0,20000,3452.25,16547.75,Followed strategy
2025-02-12,16547.75,0,0,-140.28,-0.85,81.21,0,1,20000,3592.53,16407.47,News impact
2025-02-13,16407.47,43.99,0,323.5,1.97,404.71,323.5,2,20000,3225.04,16774.96,Deviated from plan
2025-02-14,16774.96,0,0,102.12,0.61,506.83,102.12,3,20000,3122.92,16877.08,Market volatility
2025-02-15,16877.08,26.88,0,40.41,0.24,547.24,40.41,4,20000,3055.63,16944.37,News impact
2025-02-16,16944.37,0,0,230.87,1.36,778.11,230.87,5,20000,2824.76,17175.24,Followed strategy
2025-02-17,17175.24,0,0,212.62,1.24,990.73,212.62,6,20000,2612.14,17387.86,Market volatility
2025-02-18,17387.86,0,0,337.3,1.94,1328.03,337.3,7,20000,2274.84,17725.16,Technical issue
2025-02-19,17725.16,0,0,97.23,0.55,1425.26,97.23,8,20000,2177.61,17822.39,Market volatility
2025-02-20,17822.39,0,0,-63.41,-0.36,1361.85,0,9,20000,2241.02,17758.98,
2025-02-21,17758.98,0,0,-130.04,-0.73,1231.81,0,10,20000,2371.06,17628.94,Technical issue
2025-02-22,17628.94,288.18,0,156.49,0.89,1388.3,156.49,11,20000,1926.39,18073.61,Deviated from plan
2025-02-23,18073.61,0,188.4,337.42,1.87,1725.72,337.42,12,20000,1777.37,18222.63,
2025-02-24,18222.63,0,0,383.71,2.11,2109.43,383.71,1,20000,1393.66,18606.34,
2025-02-25,18606.34,0,0,181.87,0.98,2291.3,181.87,2,20000,1211.79,18788.21,Market volatility
2025-02-26,18788.21,0,0,4.88,0.03,2296.18,4.88,3,20000,1206.91,18793.09,Technical issue
2025-02-27,18793.09,0,0,255.96,1.36,2552.14,255.96,4,20000,950.95,19049.05,News impact
2025-02-28,19049.05,0,0,-9.96,-0.05,2542.18,0,5,20000,960.91,19039.09,Market volatility
2025-03-01,19039.09,0,0,302.8,1.59,2844.98,302.8,6,20000,658.11,19341.89,News impact
2025-03-02,19341.89,0,0,367.82,1.9,3212.8,367.82,1,20000,290.29,19709.71,
2025-03-03,19709.71,0,0,307.15,1.56,3519.95,307.15,2,20000,-16.86,20016.86,Followed strategy
2025-03-04,20016.86,0,0,313.51,1.57,3833.46,313.51,3,20000,-330.37,20330.37,News impact
2025-03-05,20330.37,0,0,278.97,1.37,4112.43,278.97,4,20000,-609.34,20609.34,Deviated from plan
2025-03-06,20609.34,289.94,0,331.87,1.61,4444.3,331.87,5,20000,-1231.15,21231.15,Market volatility
2025-03-07,21231.15,0,0,300.94,1.42,4745.24,300.94,1,20000,-1532.09,21532.09,Deviated from plan
2025-03-08,21532.09,0,0,173.42,0.81,4918.66,173.42,2,20000,-1705.51,21705.51,Market volatility
2025-03-09,21705.51,0,0,121.89,0.56,5040.55,121.89,3,20000,-1827.4,21827.4,Market volatility
2025-03-10,21827.4,0,0,398.85,1.83,5439.4,398.85,4,20000,-2226.25,22226.25,
2025-03-11,22226.25,0,0,-122.6,-0.55,5316.8,0,5,20000,-2103.65,22103.65,Followed strategy
2025-03-12,22103.65,319.03,0,-172.77,-0.78,5144.03,0,6,20000,-2249.91,22249.91,Market volatility
