Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,19200.0,306.82,0,15.16,0.08,15.16,15.16,0,24000,4478.02,19521.98,News impact
2025-02-12,19521.98,0,0,-193.91,-0.99,-178.75,0,1,24000,4671.93,19328.07,Deviated from plan
2025-02-13,19328.07,0,130.84,349.15,1.81,170.4,349.15,2,24000,4453.62,19546.38,News impact
2025-02-14,19546.38,0,0,-176.32,-0.9,-5.92,0,1,24000,4629.94,19370.06,
2025-02-15,19370.06,0,0,399.09,2.06,393.17,399.09,2,24000,4230.85,19769.15,Market volatility
2025-02-16,19769.15,399.33,0,-125.87,-0.64,267.3,0,3,24000,3957.39,20042.61,News impact
2025-02-17,20042.61,0,0,389.97,1.95,657.27,389.97,4,24000,3567.42,20432.58,
2025-02-18,20432.58,131.44,0,-87.8,-0.43,569.47,0,5,24000,3523.78,20476.22,Deviated from plan
2025-02-19,20476.22,0,0,157.41,0.77,726.88,157.41,6,24000,3366.37,20633.63,Deviated from plan
2025-02-20,20633.63,0,0,82.81,0.4,809.69,82.81,7,24000,3283.56,20716.44,Deviated from plan
2025-02-21,20716.44,0,45.55,125.01,0.6,934.7,125.01,8,24000,3204.1,20795.9,Market volatility
2025-02-22,20795.9,0,133.98,229.05,1.1,1163.75,229.05,9,24000,3109.03,20890.97,Market volatility
2025-02-23,20890.97,108.89,166.52,389.66,1.87,1553.41,389.66,10,24000,2777.0,21223.0,Market volatility
2025-02-24,21223.0,0,295.72,186.97,0.88,1740.38,186.97,11,24000,2885.75,21114.25,Deviated from plan
2025-02-25,21114.25,0,0,233.14,1.1,1973.52,233.14,12,24000,2652.61,21347.39,Technical issue
2025-02-26,21347.39,362.16,0,190.54,0.89,2164.06,190.54,13,24000,2099.91,21900.09,Technical issue
2025-02-27,21900.09,0,0,-122.67,-0.56,2041.39,0,14,24000,2222.58,21777.42,Market volatility
2025-02-28,21777.42,0,0,131.87,0.61,2173.26,131.87,15,24000,2090.71,21909.29,Market volatility
2025-03-01,21909.29,0,0,155.69,0.71,2328.95,155.69,16,24000,1935.02,22064.98,Followed strategy
2025-03-02,22064.98,300.27,0,-174.52,-0.79,2154.43,0,17,24000,1809.27,22190.73,Technical issue
2025-03-03,22190.73,0,0,387.4,1.75,2541.83,387.4,18,24000,1421.87,22578.13,News impact
2025-03-04,22578.13,0,0,125.44,0.56,2667.27,125.44,19,24000,1296.43,22703.57,Deviated from plan
2025-03-05,22703.57,443.54,0,136.16,0.6,2803.43,136.16,20,24000,716.73,23283.27,Technical issue
2025-03-06,23283.27,0,0,348.4,1.5,3151.83,348.4,1,24000,368.33,23631.67,Deviated from plan
2025-03-07,23631.67,0,0,-183.56,-0.78,2968.27,0,2,24000,551.89,23448.11,Followed strategy
2025-03-08,23448.11,246.05,0,356.29,1.52,3324.56,356.29,3,24000,-50.45,24050.45,Technical issue
2025-03-09,24050.45,0,0,65.7,0.27,3390.26,65.7,4,24000,-116.15,24116.15,Market volatility
2025-03-10,24116.15,0,0,57.9,0.24,3448.16,57.9,5,24000,-174.05,24174.05,News impact
2025-03-11,24174.05,0,0,294.16,1.22,3742.32,294.16,6,24000,-468.21,24468.21,News impact
2025-03-12,24468.21,0,0,38.55,0.16,3780.87,38.55,7,24000,-506.76,24506.76,Followed strategy
