Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,9600.0,0,0,-52.16,-0.54,-52.16,0,0,12000,2452.16,9547.84,Technical issue
2025-02-12,9547.84,0,0,178.23,1.87,126.07,178.23,1,12000,2273.93,9726.07,Followed strategy
2025-02-13,9726.07,0,0,-72.79,-0.75,53.28,0,2,12000,2346.72,9653.28,Followed strategy
2025-02-14,9653.28,0,0,-149.89,-1.55,-96.61,0,3,12000,2496.61,9503.39,News impact
2025-02-15,9503.39,0,0,-149.18,-1.57,-245.79,0,4,12000,2645.79,9354.21,Followed strategy
2025-02-16,9354.21,0,0,-139.97,-1.5,-385.76,0,5,12000,2785.76,9214.24,Deviated from plan
2025-02-17,9214.24,0,0,-130.59,-1.42,-516.35,0,6,12000,2916.35,9083.65,Market volatility
2025-02-18,9083.65,0,0,238.88,2.63,-277.47,238.88,7,12000,2677.47,9322.53,
2025-02-19,9322.53,0,286.55,-125.84,-1.35,-403.31,0,8,12000,3089.86,8910.14,Followed strategy
2025-02-20,8910.14,0,0,297.81,3.34,-105.5,297.81,9,12000,2792.05,9207.95,Deviated from plan
2025-02-21,9207.95,0,258.9,35.4,0.38,-70.1,35.4,10,12000,3015.55,8984.45,Followed strategy
2025-02-22,8984.45,0,0,312.2,3.47,242.1,312.2,11,12000,2703.35,9296.65,Deviated from plan
2025-02-23,9296.65,0,0,221.7,2.38,463.8,221.7,12,12000,2481.65,9518.35,Market volatility
2025-02-24,9518.35,0,131.26,377.2,3.96,841.0,377.2,13,12000,2235.71,9764.29,Market volatility
2025-02-25,9764.29,0,0,-129.61,-1.33,711.39,0,14,12000,2365.32,9634.68,Deviated from plan
2025-02-26,9634.68,0,0,321.67,3.34,1033.06,321.67,15,12000,2043.65,9956.35,Deviated from plan
2025-02-27,9956.35,0,0,26.76,0.27,1059.82,26.76,16,12000,2016.89,9983.11,
2025-02-28,9983.11,0,0,35.9,0.36,1095.72,35.9,17,12000,1980.99,10019.01,Market volatility
2025-03-01,10019.01,295.69,0,140.41,1.4,1236.13,140.41,18,12000,1544.89,10455.11,Technical issue
2025-03-02,10455.11,0,0,77.69,0.74,1313.82,77.69,19,12000,1467.2,10532.8,
2025-03-03,10532.8,0,0,332.59,3.16,1646.41,332.59,20,12000,1134.61,10865.39,Followed strategy
2025-03-04,10865.39,0,0,-76.72,-0.71,1569.69,0,21,12000,1211.33,10788.67,Deviated from plan
2025-03-05,10788.67,413.05,18.7,336.05,3.11,1905.74,336.05,22,12000,480.93,11519.07,Market volatility
2025-03-06,11519.07,0,0,-2.06,-0.02,1903.68,0,23,12000,482.99,11517.01,News impact
2025-03-07,11517.01,0,0,367.53,3.19,2271.21,367.53,24,12000,115.46,11884.54,Technical issue
2025-03-08,11884.54,0,0,75.8,0.64,2347.01,75.8,25,12000,39.66,11960.34,Market volatility
2025-03-09,11960.34,148.8,0,-22.12,-0.18,2324.89,0,1,12000,-87.02,12087.02,News impact
2025-03-10,12087.02,90.54,0,72.21,0.6,2397.1,72.21,2,12000,-249.77,12249.77,
2025-03-11,12249.77,0,0,280.28,2.29,2677.38,280.28,3,12000,-530.05,12530.05,News impact
2025-03-12,12530.05,130.26,0,270.86,2.16,2948.24,270.86,4,12000,-931.17,12931.17,
