Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,17600.0,0,0,366.54,2.08,366.54,366.54,0,22000,4033.46,17966.54,
2025-02-12,17966.54,0,280.96,340.07,1.89,706.61,340.07,1,22000,3974.35,18025.65,Market volatility
2025-02-13,18025.65,0,0,-71.19,-0.39,635.42,0,2,22000,4045.54,17954.46,Market volatility
2025-02-14,17954.46,0,0,307.61,1.71,943.03,307.61,1,22000,3737.93,18262.07,Deviated from plan
2025-02-15,18262.07,343.02,0,-126.47,-0.69,816.56,0,2,22000,3521.38,18478.62,Deviated from plan
2025-02-16,18478.62,0,0,-164.46,-0.89,652.1,0,3,22000,3685.84,18314.16,Followed strategy
2025-02-17,18314.16,0,0,44.35,0.24,696.45,44.35,4,22000,3641.49,18358.51,Technical issue
2025-02-18,18358.51,0,0,-100.12,-0.55,596.33,0,5,22000,3741.61,18258.39,Technical issue
2025-02-19,18258.39,0,0,-186.67,-1.02,409.66,0,6,22000,3928.28,18071.72,Followed strategy
2025-02-20,18071.72,0,0,-190.13,-1.05,219.53,0,7,22000,4118.41,17881.59,News impact
2025-02-21,17881.59,0,244.63,156.04,0.87,375.57,156.04,8,22000,4207.0,17793.0,
2025-02-22,17793.0,0,0,75.79,0.43,451.36,75.79,9,22000,4131.21,17868.79,Market volatility
2025-02-23,17868.79,0,0,224.03,1.25,675.39,224.03,10,22000,3907.18,18092.82,Market volatility
2025-02-24,18092.82,0,172.24,-174.6,-0.97,500.79,0,11,22000,4254.02,17745.98,
2025-02-25,17745.98,29.17,113.7,17.86,0.1,518.65,17.86,12,22000,4320.69,17679.31,Technical issue
2025-02-26,17679.31,0,0,-196.5,-1.11,322.15,0,13,22000,4517.19,17482.81,News impact
2025-02-27,17482.81,0,0,-8.14,-0.05,314.01,0,14,22000,4525.33,17474.67,
2025-02-28,17474.67,0,0,356.94,2.04,670.95,356.94,15,22000,4168.39,17831.61,Followed strategy
2025-03-01,17831.61,0,0,-29.71,-0.17,641.24,0,16,22000,4198.1,17801.9,
2025-03-02,17801.9,83.41,0,96.92,0.54,738.16,96.92,17,22000,4017.77,17982.23,Deviated from plan
2025-03-03,17982.23,0,56.85,229.86,1.28,968.02,229.86,18,22000,3844.76,18155.24,Market volatility
2025-03-04,18155.24,0,0,280.04,1.54,1248.06,280.04,19,22000,3564.72,18435.28,Technical issue
2025-03-05,18435.28,0,0,316.47,1.72,1564.53,316.47,20,22000,3248.25,18751.75,Deviated from plan
2025-03-06,18751.75,0,0,79.62,0.42,1644.15,79.62,21,22000,3168.63,18831.37,Market volatility
2025-03-07,18831.37,0,0,241.71,1.28,1885.86,241.71,1,22000,2926.92,19073.08,
2025-03-08,19073.08,0,0,118.34,0.62,2004.2,118.34,2,22000,2808.58,19191.42,News impact
2025-03-09,19191.42,0,0,230.34,1.2,2234.54,230.34,3,22000,2578.24,19421.76,News impact
2025-03-10,19421.76,0,0,-187.44,-0.97,2047.1,0,4,22000,2765.68,19234.32,Followed strategy
2025-03-11,19234.32,0,0,-19.32,-0.1,2027.78,0,5,22000,2785.0,19215.0,News impact
2025-03-12,19215.0,0,0,-135.33,-0.7,1892.45,0,6,22000,2920.33,19079.67,Deviated from plan
