Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,22400.0,0,0,-112.35,-0.5,-112.35,0,0,28000,5712.35,22287.65,News impact
2025-02-12,22287.65,0,0,106.88,0.48,-5.47,106.88,1,28000,5605.47,22394.53,
2025-02-13,22394.53,220.8,251.46,127.06,0.57,121.59,127.06,2,28000,5509.07,22490.93,News impact
2025-02-14,22490.93,0,0,4.86,0.02,126.45,4.86,3,28000,5504.21,22495.79,Technical issue
2025-02-15,22495.79,0,0,202.0,0.9,328.45,202.0,4,28000,5302.21,22697.79,Deviated from plan
2025-02-16,22697.79,174.32,39.84,145.95,0.64,474.4,145.95,5,28000,5021.78,22978.22,Deviated from plan
2025-02-17,22978.22,0,0,199.57,0.87,673.97,199.57,6,28000,4822.21,23177.79,Deviated from plan
2025-02-18,23177.79,108.17,164.4,93.96,0.41,767.93,93.96,1,28000,4784.48,23215.52,
2025-02-19,23215.52,0,0,338.95,1.46,1106.88,338.95,2,28000,4445.53,23554.47,
2025-02-20,23554.47,0,0,113.42,0.48,1220.3,113.42,3,28000,4332.11,23667.89,News impact
2025-02-21,23667.89,0,0,352.79,1.49,1573.09,352.79,4,28000,3979.32,24020.68,Deviated from plan
2025-02-22,24020.68,423.37,0,245.85,1.02,1818.94,245.85,5,28000,3310.1,24689.9,Deviated from plan
2025-02-23,24689.9,0,173.09,158.76,0.64,1977.7,158.76,6,28000,3324.43,24675.57,News impact
2025-02-24,24675.57,0,128.89,39.59,0.16,2017.29,39.59,7,28000,3413.73,24586.27,Technical issue
2025-02-25,24586.27,0,0,-1.89,-0.01,2015.4,0,8,28000,3415.62,24584.38,
2025-02-26,24584.38,0,0,297.28,1.21,2312.68,297.28,1,28000,3118.34,24881.66,News impact
2025-02-27,24881.66,0,0,206.03,0.83,2518.71,206.03,2,28000,2912.31,25087.69,News impact
2025-02-28,25087.69,94.57,0,234.17,0.93,2752.88,234.17,3,28000,2583.57,25416.43,Followed strategy
2025-03-01,25416.43,0,0,229.14,0.9,2982.02,229.14,4,28000,2354.43,25645.57,Market volatility
2025-03-02,25645.57,0,0,96.32,0.38,3078.34,96.32,5,28000,2258.11,25741.89,Market volatility
2025-03-03,25741.89,0,0,-113.58,-0.44,2964.76,0,6,28000,2371.69,25628.31,Technical issue
2025-03-04,25628.31,32.2,0,-69.3,-0.27,2895.46,0,7,28000,2408.79,25591.21,Followed strategy
2025-03-05,25591.21,0,0,20.77,0.08,2916.23,20.77,8,28000,2388.02,25611.98,Market volatility
2025-03-06,25611.98,0,0,87.03,0.34,3003.26,87.03,9,28000,2300.99,25699.01,News impact
2025-03-07,25699.01,0,207.73,351.2,1.37,3354.46,351.2,10,28000,2157.52,25842.48,Followed strategy
2025-03-08,25842.48,0,0,301.88,1.17,3656.34,301.88,11,28000,1855.64,26144.36,Market volatility
2025-03-09,26144.36,0,0,3.72,0.01,3660.06,3.72,12,28000,1851.92,26148.08,Market volatility
2025-03-10,26148.08,0,0,-11.06,-0.04,3649.0,0,13,28000,1862.98,26137.02,
2025-03-11,26137.02,0,0,-79.49,-0.3,3569.51,0,14,28000,1942.47,26057.53,Followed strategy
2025-03-12,26057.53,0,0,-38.61,-0.15,3530.9,0,15,28000,1981.08,26018.92,
