Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,16800.0,0,0,308.7,1.84,308.7,308.7,0,21000,3891.3,17108.7,Technical issue
2025-02-12,17108.7,0,0,165.13,0.97,473.83,165.13,1,21000,3726.17,17273.83,Deviated from plan
2025-02-13,17273.83,0,0,14.86,0.09,488.69,14.86,2,21000,3711.31,17288.69,Followed strategy
2025-02-14,17288.69,287.39,0,310.37,1.8,799.06,310.37,3,21000,3113.55,17886.45,Deviated from plan
2025-02-15,17886.45,0,0,136.72,0.76,935.78,136.72,4,21000,2976.83,18023.17,
2025-02-16,18023.17,0,0,204.99,1.14,1140.77,204.99,5,21000,2771.84,18228.16,News impact
2025-02-17,18228.16,0,0,-152.28,-0.84,988.49,0,6,21000,2924.12,18075.88,
2025-02-18,18075.88,152.13,0,108.97,0.6,1097.46,108.97,7,21000,2663.02,18336.98,
2025-02-19,18336.98,440.07,0,-24.34,-0.13,1073.12,0,8,21000,2247.29,18752.71,Deviated from plan
2025-02-20,18752.71,0,0,-42.16,-0.22,1030.96,0,9,21000,2289.45,18710.55,Market volatility
2025-02-21,18710.55,230.78,0,179.33,0.96,1210.29,179.33,10,21000,1879.34,19120.66,News impact
2025-02-22,19120.66,0,0,126.21,0.66,1336.5,126.21,11,21000,1753.13,19246.87,Technical issue
2025-02-23,19246.87,425.74,0,-49.29,-0.26,1287.21,0,12,21000,1376.68,19623.32,Followed strategy
2025-02-24,19623.32,0,0,-179.33,-0.91,1107.88,0,13,21000,1556.01,19443.99,Technical issue
2025-02-25,19443.99,274.75,87.14,366.98,1.89,1474.86,366.98,14,21000,1001.42,19998.58,
2025-02-26,19998.58,0,0,-133.26,-0.67,1341.6,0,15,21000,1134.68,19865.32,Deviated from plan
2025-02-27,19865.32,0,0,-198.15,-1.0,1143.45,0,16,21000,1332.83,19667.17,Market volatility
2025-02-28,19667.17,310.85,0,162.68,0.83,1306.13,162.68,17,21000,859.3,20140.7,Market volatility
2025-03-01,20140.7,0,0,-103.27,-0.51,1202.86,0,18,21000,962.57,20037.43,
2025-03-02,20037.43,0,0,320.58,1.6,1523.44,320.58,19,21000,641.99,20358.01,News impact
2025-03-03,20358.01,0,0,51.94,0.26,1575.38,51.94,20,21000,590.05,20409.95,Followed strategy
2025-03-04,20409.95,0,0,245.56,1.2,1820.94,245.56,1,21000,344.49,20655.51,Followed strategy
2025-03-05,20655.51,0,0,92.06,0.45,1913.0,92.06,2,21000,252.43,20747.57,Followed strategy
2025-03-06,20747.57,0,0,330.66,1.59,2243.66,330.66,3,21000,-78.23,21078.23,Followed strategy
2025-03-07,21078.23,180.0,0,363.83,1.73,2607.49,363.83,4,21000,-622.06,21622.06,
2025-03-08,21622.06,0,0,69.12,0.32,2676.61,69.12,5,21000,-691.18,21691.18,News impact
2025-03-09,21691.18,0,0,21.48,0.1,2698.09,21.48,6,21000,-712.66,21712.66,Deviated from plan
2025-03-10,21712.66,0,221.66,-21.22,-0.1,2676.87,0,7,21000,-469.78,21469.78,Market volatility
2025-03-11,21469.78,0,208.9,33.39,0.16,2710.26,33.39,8,21000,-294.27,21294.27,Deviated from plan
2025-03-12,21294.27,0,0,-8.33,-0.04,2701.93,0,9,21000,-285.94,21285.94,Market volatility
