Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,18400.0,302.9,0,-191.83,-1.04,-191.83,0,0,23000,4488.93,18511.07,News impact
2025-02-12,18511.07,0,0,-183.89,-0.99,-375.72,0,1,23000,4672.82,18327.18,Technical issue
2025-02-13,18327.18,0,0,175.73,0.96,-199.99,175.73,2,23000,4497.09,18502.91,Followed strategy
2025-02-14,18502.91,0,0,290.1,1.57,90.11,290.1,3,23000,4206.99,18793.01,Followed strategy
2025-02-15,18793.01,267.05,0,213.06,1.13,303.17,213.06,4,23000,3726.88,19273.12,Technical issue
2025-02-16,19273.12,0,0,147.2,0.76,450.37,147.2,5,23000,3579.68,19420.32,Followed strategy
2025-02-17,19420.32,0,0,273.6,1.41,723.97,273.6,6,23000,3306.08,19693.92,News impact
2025-02-18,19693.92,0,0,-144.18,-0.73,579.79,0,7,23000,3450.26,19549.74,Market volatility
2025-02-19,19549.74,0,0,47.56,0.24,627.35,47.56,8,23000,3402.7,19597.3,News impact
2025-02-20,19597.3,152.3,73.1,116.67,0.6,744.02,116.67,9,23000,3206.83,19793.17,Followed strategy
2025-02-21,19793.17,109.66,56.87,147.23,0.74,891.25,147.23,10,23000,3006.81,19993.19,Deviated from plan
2025-02-22,19993.19,0,0,249.03,1.25,1140.28,249.03,11,23000,2757.78,20242.22,Technical issue
2025-02-23,20242.22,16.54,0,3.62,0.02,1143.9,3.62,12,23000,2737.62,20262.38,
2025-02-24,20262.38,0,0,293.53,1.45,1437.43,293.53,13,23000,2444.09,20555.91,Followed strategy
2025-02-25,20555.91,0,0,347.18,1.69,1784.61,347.18,14,23000,2096.91,20903.09,Deviated from plan
2025-02-26,20903.09,0,0,70.94,0.34,1855.55,70.94,1,23000,2025.97,20974.03,Deviated from plan
2025-02-27,20974.03,0,0,192.43,0.92,2047.98,192.43,2,23000,1833.54,21166.46,Followed strategy
2025-02-28,21166.46,0,0,212.08,1.0,2260.06,212.08,3,23000,1621.46,21378.54,Technical issue
2025-03-01,21378.54,0,0,160.91,0.75,2420.97,160.91,4,23000,1460.55,21539.45,Deviated from plan
2025-03-02,21539.45,0,42.85,303.21,1.41,2724.18,303.21,5,23000,1200.19,21799.81,Deviated from plan
2025-03-03,21799.81,476.63,0,194.41,0.89,2918.59,194.41,1,23000,529.15,22470.85,News impact
2025-03-04,22470.85,0,0,253.24,1.13,3171.83,253.24,2,23000,275.91,22724.09,Followed strategy
2025-03-05,22724.09,0,213.46,382.55,1.68,3554.38,382.55,3,23000,106.82,22893.18,Technical issue
2025-03-06,22893.18,0,0,93.36,0.41,3647.74,93.36,4,23000,13.46,22986.54,Technical issue
2025-03-07,22986.54,0,0,93.84,0.41,3741.58,93.84,5,23000,-80.38,23080.38,
2025-03-08,23080.38,0,0,118.09,0.51,3859.67,118.09,6,23000,-198.47,23198.47,Market volatility
2025-03-09,23198.47,145.61,0,15.55,0.07,3875.22,15.55,7,23000,-359.63,23359.63,Market volatility
2025-03-10,23359.63,170.7,0,201.77,0.86,4076.99,201.77,8,23000,-732.1,23732.1,News impact
2025-03-11,23732.1,0,0,-38.43,-0.16,4038.56,0,9,23000,-693.67,23693.67,Technical issue
2025-03-12,23693.67,0,0,275.95,1.16,4314.51,275.95,10,23000,-969.62,23969.62,Technical issue
