Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,8800.0,0,0,192.56,2.19,192.56,192.56,0,11000,2007.44,8992.56,Technical issue
2025-02-12,8992.56,0,90.75,-56.31,-0.63,136.25,0,1,11000,2154.5,8845.5,Technical issue
2025-02-13,8845.5,0,0,235.3,2.66,371.55,235.3,2,11000,1919.2,9080.8,Deviated from plan
2025-02-14,9080.8,0,0,165.45,1.82,537.0,165.45,3,11000,1753.75,9246.25,News impact
2025-02-15,9246.25,0,0,393.95,4.26,930.95,393.95,4,11000,1359.8,9640.2,Market volatility
2025-02-16,9640.2,0,37.14,-115.74,-1.2,815.21,0,1,11000,1512.68,9487.32,Market volatility
2025-02-17,9487.32,0,0,149.91,1.58,965.12,149.91,2,11000,1362.77,9637.23,
2025-02-18,9637.23,0,0,-16.27,-0.17,948.85,0,3,11000,1379.04,9620.96,News impact
2025-02-19,9620.96,337.73,0,361.76,3.76,1310.61,361.76,4,11000,679.55,10320.45,News impact
2025-02-20,10320.45,0,0,-194.31,-1.88,1116.3,0,1,11000,873.86,10126.14,Technical issue
2025-02-21,10126.14,375.2,160.53,94.07,0.93,1210.37,94.07,2,11000,565.12,10434.88,Technical issue
2025-02-22,10434.88,0,0,156.42,1.5,1366.79,156.42,3,11000,408.7,10591.3,Followed strategy
2025-02-23,10591.3,0,0,-101.87,-0.96,1264.92,0,4,11000,510.57,10489.43,Technical issue
2025-02-24,10489.43,0,0,-194.57,-1.85,1070.35,0,5,11000,705.14,10294.86,Deviated from plan
2025-02-25,10294.86,0,0,196.84,1.91,1267.19,196.84,6,11000,508.3,10491.7,News impact
2025-02-26,10491.7,0,0,340.41,3.24,1607.6,340.41,7,11000,167.89,10832.11,
2025-02-27,10832.11,0,0,174.41,1.61,1782.01,174.41,8,11000,-6.52,11006.52,Market volatility
2025-02-28,11006.52,0,0,302.28,2.75,2084.29,302.28,9,11000,-308.8,11308.8,
2025-03-01,11308.8,0,0,150.57,1.33,2234.86,150.57,10,11000,-459.37,11459.37,Followed strategy
2025-03-02,11459.37,0,0,71.01,0.62,2305.87,71.01,11,11000,-530.38,11530.38,Technical issue
2025-03-03,11530.38,77.81,0,-89.01,-0.77,2216.86,0,12,11000,-519.18,11519.18,Deviated from plan
2025-03-04,11519.18,0,0,274.75,2.39,2491.61,274.75,13,11000,-793.93,11793.93,
2025-03-05,11793.93,0,0,188.9,1.6,2680.51,188.9,14,11000,-982.83,11982.83,
2025-03-06,11982.83,0,0,-118.55,-0.99,2561.96,0,15,11000,-864.28,11864.28,Technical issue
2025-03-07,11864.28,0,0,109.42,0.92,2671.38,109.42,16,11000,-973.7,11973.7,Technical issue
2025-03-08,11973.7,0,0,330.7,2.76,3002.08,330.7,17,11000,-1304.4,12304.4,News impact
2025-03-09,12304.4,0,0,-129.5,-1.05,2872.58,0,18,11000,-1174.9,12174.9,News impact
2025-03-10,12174.9,250.02,47.24,197.71,1.62,3070.29,197.71,19,11000,-1575.39,12575.39,Technical issue
2025-03-11,12575.39,0,0,399.98,3.18,3470.27,399.98,20,11000,-1975.37,12975.37,News impact
2025-03-12,12975.37,0,0,81.96,0.63,3552.23,81.96,21,11000,-2057.33,13057.33,Followed strategy
