Date,Opening Balance,Deposits,Withdrawals,Daily P/L,% Return,Cumulative P/L,Profit,Days Since Payout,Goal Balance,Diff from Goal,Current Balance,Notes
2025-02-11,12000.0,0,0,90.58,0.75,90.58,90.58,0,15000,2909.42,12090.58,News impact
2025-02-12,12090.58,394.33,0,366.21,3.03,456.79,366.21,1,15000,2148.88,12851.12,
2025-02-13,12851.12,0,0,76.9,0.6,533.69,76.9,2,15000,2071.98,12928.02,Deviated from plan
2025-02-14,12928.02,0,212.24,32.92,0.25,566.61,32.92,3,15000,2251.3,12748.7,News impact
2025-02-15,12748.7,0,0,220.96,1.73,787.57,220.96,1,15000,2030.34,12969.66,Technical issue
2025-02-16,12969.66,0,0,273.89,2.11,1061.46,273.89,2,15000,1756.45,13243.55,
2025-02-17,13243.55,0,0,73.83,0.56,1135.29,73.83,3,15000,1682.62,13317.38,
2025-02-18,13317.38,50.37,0,377.39,2.83,1512.68,377.39,4,15000,1254.86,13745.14,Followed strategy
2025-02-19,13745.14,356.49,0,235.9,1.72,1748.58,235.9,5,15000,662.47,14337.53,Deviated from plan
2025-02-20,14337.53,12.43,107.44,-77.16,-0.54,1671.42,0,6,15000,834.64,14165.36,Technical issue
2025-02-21,14165.36,0,0,361.68,2.55,2033.1,361.68,7,15000,472.96,14527.04,Followed strategy
2025-02-22,14527.04,5.54,0,-13.68,-0.09,2019.42,0,1,15000,481.1,14518.9,Followed strategy
2025-02-23,14518.9,0,0,63.86,0.44,2083.28,63.86,2,15000,417.24,14582.76,News impact
2025-02-24,14582.76,0,0,87.4,0.6,2170.68,87.4,3,15000,329.84,14670.16,
2025-02-25,14670.16,0,0,191.0,1.3,2361.68,191.0,4,15000,138.84,14861.16,Market volatility
2025-02-26,14861.16,0,0,217.61,1.46,2579.29,217.61,5,15000,-78.77,15078.77,News impact
2025-02-27,15078.77,0,0,379.76,2.52,2959.05,379.76,6,15000,-458.53,15458.53,Deviated from plan
2025-02-28,15458.53,0,0,328.11,2.12,3287.16,328.11,7,15000,-786.64,15786.64,Deviated from plan
2025-03-01,15786.64,0,0,-20.65,-0.13,3266.51,0,8,15000,-765.99,15765.99,Market volatility
2025-03-02,15765.99,0,0,119.05,0.76,3385.56,119.05,9,15000,-885.04,15885.04,Deviated from plan
2025-03-03,15885.04,0,208.46,-85.9,-0.54,3299.66,0,10,15000,-590.68,15590.68,News impact
2025-03-04,15590.68,0,0,-111.77,-0.72,3187.89,0,11,15000,-478.91,15478.91,Market volatility
2025-03-05,15478.91,0,0,350.2,2.26,3538.09,350.2,12,15000,-829.11,15829.11,News impact
2025-03-06,15829.11,0,54.74,287.73,1.82,3825.82,287.73,13,15000,-1062.1,16062.1,News impact
2025-03-07,16062.1,0,0,-184.8,-1.15,3641.02,0,14,15000,-877.3,15877.3,Market volatility
2025-03-08,15877.3,0,0,40.13,0.25,3681.15,40.13,15,15000,-917.43,15917.43,News impact
2025-03-09,15917.43,0,0,-158.35,-0.99,3522.8,0,16,15000,-759.08,15759.08,Technical issue
2025-03-10,15759.08,0,0,295.16,1.87,3817.96,295.16,17,15000,-1054.24,16054.24,Market volatility
2025-03-11,16054.24,0,0,-162.96,-1.02,3655.0,0,18,15000,-891.28,15891.28,Market volatility
2025-03-12,15891.28,493.14,0,242.57,1.53,3897.57,242.57,19,15000,-1626.99,16626.99,Deviated from plan
